Level,id,RealClass,parent_id,ParentClass,grandparent_id,GrandparentClass
1,n07565083,menu,fall11,root_name,no_id,no_grandparent
1,n07831146,carbonara,fall11,root_name,no_id,no_grandparent
1,n09229709,bubble,fall11,root_name,no_id,no_grandparent
1,n07695742,pretzel,fall11,root_name,no_id,no_grandparent
1,n06794110,street sign,fall11,root_name,no_id,no_grandparent
1,n15075141,toilet tissue,fall11,root_name,no_id,no_grandparent
1,n07684084,french loaf,fall11,root_name,no_id,no_grandparent
1,n06874185,traffic light,fall11,root_name,no_id,no_grandparent
1,n07680932,bun,fall11,root_name,no_id,no_grandparent
2,n07693725,bagel,n07680932,bun,fall11,root_name
1,n07829412,sauce,fall11,root_name,no_id,no_grandparent
2,n07836838,chocolate sauce,n07829412,sauce,fall11,root_name
1,n07582609,dip,fall11,root_name,no_id,no_grandparent
2,n07583066,guacamole,n07582609,dip,fall11,root_name
1,n07800091,feed,fall11,root_name,no_id,no_grandparent
2,n07800740,fodder,n07800091,feed,fall11,root_name
3,n07802026,hay,n07800740,fodder,n07800091,feed
1,n07695965,sandwich,fall11,root_name,no_id,no_grandparent
2,n07697537,hotdog,n07695965,sandwich,fall11,root_name
2,n07697100,hamburger,n07695965,sandwich,fall11,root_name
3,n07697313,cheeseburger,n07697100,hamburger,n07695965,sandwich
1,n07566340,foodstuff,fall11,root_name,no_id,no_grandparent
2,n07566863,starches,n07566340,foodstuff,fall11,root_name
3,n07710616,potato,n07566863,starches,n07566340,foodstuff
4,n07711569,mashed potato,n07710616,potato,n07566863,starches
2,n07882497,concoction,n07566340,foodstuff,fall11,root_name
3,n07860988,dough,n07882497,concoction,n07566340,foodstuff
1,n07570720,nutriment,fall11,root_name,no_id,no_grandparent
2,n07557434,dish,n07570720,nutriment,fall11,root_name
3,n07588947,stew,n07557434,dish,n07570720,nutriment
4,n07590611,hot pot,n07588947,stew,n07557434,dish
3,n07871810,meat loaf,n07557434,dish,n07570720,nutriment
3,n07583197,soup,n07557434,dish,n07570720,nutriment
4,n07584110,consomme,n07583197,soup,n07557434,dish
3,n07875152,potpie,n07557434,dish,n07570720,nutriment
3,n07880968,burrito,n07557434,dish,n07570720,nutriment
3,n07873807,pizza,n07557434,dish,n07570720,nutriment
2,n07556970,course,n07570720,nutriment,fall11,root_name
3,n07579575,entree,n07556970,course,n07570720,nutriment
4,n07579787,plate,n07579575,entree,n07556970,course
3,n07609840,dessert,n07556970,course,n07570720,nutriment
4,n07611358,frozen dessert,n07609840,dessert,n07556970,course
5,n07615774,ice lolly,n07611358,frozen dessert,n07609840,dessert
5,n07614500,ice cream,n07611358,frozen dessert,n07609840,dessert
4,n07612996,pudding,n07609840,dessert,n07556970,course
5,n07613480,trifle,n07612996,pudding,n07609840,dessert
1,n09287968,geological formation,fall11,root_name,no_id,no_grandparent
2,n09246464,cliff,n09287968,geological formation,fall11,root_name
